fecha,PM25LE
29aug2009,23.412498
30aug2009,31.64167
31aug2009,69.4375
01-sept-09,118.06248
02-sept-09,101.35
03-sept-09,84.291649
04-sept-09,39.07917
05-sept-09,11.475
06-sept-09,34.670837
07-sept-09,63.77916
08-sept-09,77.29583
09-sept-09,46.812496
10-sept-09,40.900002
11-sept-09,12.825
12-sept-09,24.483332
13-sept-09,29.833332
14-sept-09,21.495834
15-sept-09,45.408329
16-sept-09,52.529167
17-sept-09,20.845835
18-sept-09,20.545832
19-sept-09,19.158335
20-sept-09,13.358334
21-sept-09,19.204166
22-sept-09,41.337498
23-sept-09,35.762497
24-sept-09,37.745834
25-sept-09,26.716667
26-sept-09,61.520824
27-sept-09,66.029152
28-sept-09,9.7749996
29-sept-09,12.283333
30-sept-09,16.316666
01-oct-09,16.024998
02-oct-09,30.14167
03-oct-09,33.224998
04-oct-09,17.862499
05-oct-09,30.82917
06-oct-09,79.795837
07-oct-09,51.029167
08-oct-09,41.895832
09-oct-09,13.020835
10-oct-09,10.208332
11-oct-09,11.683332
12-oct-09,12.525
13-oct-09,24.274998
14-oct-09,44.366661
15-oct-09,20.830435
16-oct-09,18.795834
17-oct-09,24.866665
18-oct-09,16.083334
19-oct-09,19.975002
20-oct-09,26.620834
21-oct-09,17.065218
22-oct-09,6.4124999
23-oct-09,17.450001
24-oct-09,14.045835
25-oct-09,12.200001
26-oct-09,25.654165
27-oct-09,17.683332
28-oct-09,8.1374998
29-oct-09,4.666667
30-oct-09,9.749999
31-oct-09,20.875
01-nov-09,11.716667
02-nov-09,23.870831
03-nov-09,17.85
04-nov-09,13.220832
05-nov-09,10.029165
06-nov-09,20.85
07-nov-09,41.82917
08-nov-09,19.833334
09-nov-09,18.179165
10-nov-09,61.575001
11-nov-09,12.270835
12-nov-09,10.604167
13-nov-09,13.933332
14-nov-09,24.250002
15-nov-09,14.483335
16-nov-09,19.958336
17-nov-09,11.891667
18-nov-09,25.037497
19-nov-09,12.650001
20-nov-09,14.141667
21-nov-09,17.345833
22-nov-09,14.699998
23-nov-09,10.420341
24-nov-09,9.7681341
25-nov-09,8.8250008
26-nov-09,10.574999
27-nov-09,6.4708333
28-nov-09,11.483334
29-nov-09,9.6416664
30-nov-09,11.533334
